paid_enroll,prv_wk_nbr,prv_wk_min,message,binge,complete
1,3,199,0,1,1
0,2,371,0,1,1
0,3,143,0,0,1
1,7,45,0,0,0
1,3,137,0,1,1
1,3,478,0,1,1
1,2,21,0,0,1
0,2,52,0,1,1
1,4,474,0,1,1
0,5,239,0,1,1
1,4,196,0,1,1
1,3,336,0,1,1
1,3,269,0,1,1
1,5,418,0,1,1
1,5,89,0,1,1
0,4,56,0,1,0
1,5,63,0,1,1
0,2,271,0,1,1
1,2,28,0,0,0
1,4,143,0,1,1
0,4,237,0,1,1
0,5,59,0,0,1
1,3,376,0,1,1
0,2,396,0,1,1
0,4,38,0,0,1
1,4,220,0,1,1
1,2,283,0,1,1
0,2,121,0,1,1
0,5,171,0,1,1
0,3,114,0,0,1
1,3,37,0,0,0
0,5,307,0,1,1
1,4,409,0,1,1
0,5,369,0,1,1
1,3,97,0,0,1
0,5,26,0,0,1
1,4,192,0,1,1
0,2,332,0,1,1
0,5,89,0,1,1
0,4,31,0,0,0
1,5,223,0,1,1
0,2,205,0,1,1
1,2,374,0,1,1
0,5,306,0,1,1
0,7,57,0,0,1
1,2,454,0,1,1
0,2,254,0,1,1
0,7,169,0,1,1
0,5,25,0,0,1
0,4,161,0,1,1
0,3,303,0,1,1
1,3,179,0,1,1
0,3,398,0,1,1
1,3,360,0,1,1
1,5,270,0,1,1
1,4,406,0,1,1
1,2,339,0,1,1
1,3,308,0,1,1
0,4,116,0,1,1
1,4,272,0,1,1
1,5,146,0,0,1
0,7,254,0,1,1
1,4,416,0,1,1
0,7,381,0,1,1
1,3,314,0,1,1
0,2,340,0,1,1
1,5,203,0,1,1
0,2,185,0,1,1
0,3,188,0,1,1
1,2,355,0,1,1
0,4,79,0,0,1
1,4,420,0,1,1
1,3,255,0,1,1
1,3,305,0,1,1
1,2,393,0,1,1
0,4,187,0,1,1
1,2,382,0,1,1
0,2,144,0,1,1
1,2,207,0,1,1
1,2,343,0,1,1
1,2,58,0,0,0
0,5,120,0,0,1
1,5,94,0,1,1
1,2,53,0,0,0
1,3,457,0,1,1
1,4,69,0,0,1
0,5,26,0,0,0
0,2,123,0,1,1
1,5,286,0,1,1
1,3,218,0,1,1
1,5,117,0,0,1
0,3,379,0,1,1
0,3,12,0,0,0
1,2,30,0,0,0
1,5,84,0,1,0
1,7,213,0,1,1
0,1,120,0,1,1
0,7,94,0,0,1
1,3,338,0,1,1
1,2,248,0,1,1
1,3,17,0,0,0
0,5,377,0,1,1
1,2,76,0,0,0
1,5,377,0,1,1
0,3,449,0,1,1
1,3,183,0,1,1
1,5,470,0,1,1
0,4,365,0,1,1
1,2,425,0,1,1
1,4,23,0,0,0
1,3,432,0,1,1
1,4,122,0,1,1
0,5,473,0,1,1
0,4,82,0,0,0
0,4,260,0,1,1
0,5,76,0,0,0
0,4,90,0,0,1
1,2,171,0,1,1
0,3,290,0,1,1
1,4,399,0,1,1
0,3,441,0,1,1
0,7,13,0,0,0
1,7,300,0,1,1
1,5,123,0,1,1
0,5,399,0,1,1
1,5,410,0,1,1
0,4,256,0,1,1
1,3,452,0,1,1
0,4,115,0,1,1
0,3,99,0,1,1
1,2,370,0,1,1
1,5,300,0,1,1
0,4,230,0,1,1
0,2,402,0,1,1
0,4,111,0,1,1
1,2,306,0,1,1
0,3,30,0,0,0
1,2,249,0,1,1
1,5,410,0,1,1
1,2,102,0,0,1
1,5,40,0,0,0
1,2,223,0,1,1
1,1,33,0,0,0
1,5,338,0,1,1
1,1,172,0,1,1
1,3,99,0,0,1
0,4,124,0,1,1
1,4,350,0,1,1
1,3,49,0,0,1
0,3,469,0,1,1
1,5,472,0,1,1
0,2,214,0,1,1
0,2,355,0,1,1
1,3,145,0,1,1
1,2,433,0,1,1
0,3,73,0,0,1
1,3,239,0,1,1
1,3,122,0,0,1
1,3,124,0,0,1
0,4,406,0,1,1
1,5,21,0,0,0
1,5,148,0,1,1
1,4,83,0,0,1
0,4,62,0,0,0
0,7,133,0,1,1
1,2,112,0,0,1
1,7,124,0,0,1
0,5,67,0,1,1
0,3,418,0,1,1
1,4,407,0,1,1
1,2,365,0,1,1
0,2,109,0,1,1
0,3,144,0,1,1
0,4,177,0,1,1
1,3,45,0,0,1
1,3,358,0,1,1
1,2,432,0,1,1
0,2,116,0,1,1
0,2,243,0,1,1
1,1,93,0,1,1
0,3,461,0,1,1
1,4,195,0,1,1
1,4,236,0,1,1
1,2,67,0,0,1
1,5,199,0,1,1
0,2,176,0,1,1
1,5,276,0,1,1
0,2,430,0,1,1
1,5,267,0,1,1
0,5,180,0,1,1
1,5,94,0,1,1
1,2,68,0,0,1
1,5,358,0,1,1
0,5,14,0,0,0
1,3,252,0,1,1
0,3,338,0,1,1
1,5,17,0,0,0
1,2,43,0,0,0
1,5,265,0,1,1
0,1,344,0,1,1
0,2,436,0,1,1
0,3,158,0,1,1
1,2,259,0,1,1
0,5,209,0,1,1
1,4,338,0,1,1
0,4,176,0,0,1
1,4,98,0,1,1
0,2,479,0,1,1
1,3,243,0,1,1
0,2,132,0,0,1
1,3,371,0,1,1
0,3,102,0,1,1
0,5,332,0,1,1
0,5,71,0,0,1
1,5,291,0,1,1
0,5,409,0,1,1
0,4,189,0,1,1
0,3,80,0,0,1
1,3,292,0,1,1
1,5,187,0,1,1
1,3,456,0,1,1
0,5,442,0,1,1
0,2,467,0,1,1
0,4,439,0,1,1
0,4,284,0,1,1
0,4,71,0,0,1
1,3,238,0,1,1
0,2,203,0,1,1
1,3,183,0,1,1
0,5,50,0,0,1
0,4,231,0,1,1
1,4,124,0,1,0
1,7,381,0,1,1
0,5,43,0,0,1
0,4,96,0,0,1
1,2,17,0,0,0
1,2,69,0,0,0
0,2,133,0,1,1
0,3,309,0,1,1
1,5,29,0,0,0
0,2,49,0,1,1
1,4,61,0,0,0
0,3,239,0,1,1
1,5,44,0,0,0
0,2,185,0,1,1
1,4,205,0,1,1
0,3,100,0,1,1
1,2,473,0,1,1
0,4,461,0,1,1
0,1,40,0,0,0
1,4,49,0,1,1
0,2,167,0,1,1
1,4,206,0,1,1
1,2,158,0,1,1
1,3,298,0,1,1
1,4,435,0,1,1
1,4,470,0,1,1
1,3,479,0,1,1
1,2,240,0,1,1
1,5,361,0,1,1
1,4,450,0,1,1
1,5,314,0,1,1
1,2,403,0,1,1
1,4,337,0,1,1
1,2,301,0,1,1
1,4,215,0,1,1
0,3,270,0,1,1
0,4,148,0,1,1
0,2,443,0,1,1
1,1,293,0,1,1
1,5,391,0,1,1
0,7,434,0,1,1
1,4,56,0,0,1
1,5,380,0,1,1
1,3,477,0,1,1
1,2,111,0,1,1
1,3,161,0,1,1
1,3,220,0,1,1
1,5,54,0,0,1
1,5,119,0,1,1
1,5,332,0,1,1
0,4,86,0,1,1
1,5,86,0,1,1
1,1,99,0,1,0
1,2,269,0,1,1
1,4,351,0,1,1
0,3,364,0,1,1
1,5,30,0,0,0
1,2,379,0,1,1
1,4,360,0,1,1
0,5,68,0,0,0
0,2,288,0,1,1
0,4,211,0,1,1
1,7,141,0,1,1
1,3,370,0,1,1
1,4,367,0,1,1
1,3,279,0,1,1
0,7,258,0,1,1
0,2,352,0,1,1
0,2,152,0,1,1
1,2,465,0,1,1
1,3,240,0,1,1
0,2,321,0,1,1
0,3,224,0,1,1
0,3,253,0,1,1
1,4,200,0,1,1
1,7,296,0,1,1
0,4,231,0,1,1
1,2,196,0,1,1
0,3,238,0,1,1
1,3,392,0,1,1
1,4,393,0,1,1
1,5,164,0,1,1
1,2,75,0,0,0
0,2,296,0,1,1
0,3,236,0,1,1
0,5,313,0,1,1
0,2,321,0,1,1
1,4,230,0,1,1
1,5,46,0,0,0
0,3,32,0,0,0
1,2,364,0,1,1
1,3,422,0,1,1
1,2,150,0,1,1
1,3,333,0,1,1
1,2,47,0,0,0
1,5,279,0,1,1
0,3,285,0,1,1
1,3,162,0,1,1
0,4,192,0,1,1
0,7,303,0,1,1
1,3,266,0,1,1
1,2,416,0,1,1
1,3,348,0,1,1
0,4,13,0,1,0
1,4,166,0,1,1
1,7,461,0,1,1
1,3,242,0,1,1
1,3,111,0,1,1
1,5,181,0,1,1
1,5,207,0,1,1
1,2,44,0,0,0
0,7,151,0,1,1
1,4,166,0,1,1
1,4,67,0,0,0
1,5,113,0,1,1
1,3,407,0,1,1
1,3,77,0,0,0
1,5,163,0,1,1
1,2,13,0,0,0
0,2,146,0,1,1
1,3,14,0,0,0
0,4,18,0,0,0
1,3,207,0,1,1
1,2,150,0,1,1
1,2,439,0,1,1
1,4,65,0,0,0
0,3,55,0,0,0
1,3,157,0,1,1
0,3,257,0,1,1
1,5,184,0,1,1
1,2,222,0,1,1
0,5,287,0,1,1
1,3,34,0,0,0
1,3,41,0,0,0
1,7,27,0,0,1
1,5,69,0,1,0
1,4,96,0,0,1
0,2,347,0,1,1
0,5,413,0,1,1
1,4,271,0,1,1
1,7,58,0,1,0
0,2,241,0,1,1
1,5,292,0,1,1
1,3,102,0,0,1
0,4,308,0,1,1
0,2,203,0,1,1
1,1,190,0,1,1
1,4,262,0,1,1
0,3,471,0,1,1
0,3,126,0,1,1
1,3,154,0,1,1
1,3,400,0,1,1
1,1,349,0,1,1
1,3,456,0,1,1
1,3,16,0,0,0
0,3,347,0,1,1
1,3,145,0,1,1
0,2,168,0,1,1
0,5,58,0,1,0
0,1,64,0,1,1
1,5,116,0,1,1
1,5,241,0,1,1
1,2,184,0,1,1
1,3,300,0,1,1
1,4,358,0,1,1
0,5,183,0,1,1
1,4,404,0,1,1
1,5,32,0,0,0
0,2,273,0,1,1
0,2,353,0,1,1
1,3,63,0,0,1
0,2,180,0,1,1
1,3,29,0,0,1
1,2,253,0,1,1
0,2,365,0,1,1
1,2,188,0,1,1
0,7,264,0,1,1
0,5,471,0,1,1
1,4,459,0,1,1
0,2,358,0,1,1
0,7,123,0,1,1
0,5,96,0,0,1
1,3,349,0,1,1
1,5,173,0,1,1
1,3,381,0,1,1
1,2,144,0,1,1
1,4,204,0,1,1
0,3,15,0,0,0
0,2,339,0,1,1
0,4,117,0,1,1
0,3,154,0,1,1
1,3,436,0,1,1
1,5,160,0,1,1
1,5,101,0,0,1
1,2,44,0,0,0
1,4,458,0,1,1
0,2,134,0,1,1
0,5,90,0,0,1
0,4,12,0,0,0
1,7,393,0,1,1
0,2,406,0,1,1
0,3,464,0,1,1
1,3,112,0,1,1
1,3,445,0,1,1
0,1,275,0,1,1
0,4,150,0,1,1
1,4,213,0,1,1
0,3,342,0,1,1
1,2,453,0,1,1
1,3,96,0,1,1
1,4,429,0,1,1
1,5,262,0,1,1
0,7,46,0,0,1
1,1,420,0,1,1
1,4,339,0,1,1
1,5,196,0,1,1
0,4,39,0,0,0
0,3,359,0,1,1
1,3,432,0,1,1
1,4,412,0,1,1
1,4,178,0,1,1
1,3,90,0,0,0
0,4,20,0,0,0
0,4,29,0,1,0
1,4,135,0,1,1
1,7,227,0,1,1
0,2,30,0,1,0
0,7,469,0,1,1
0,4,331,0,1,1
1,3,320,0,1,1
0,3,477,0,1,1
1,4,446,0,1,1
0,3,360,0,1,1
1,5,325,0,1,1
0,3,462,0,1,1
1,1,433,0,1,1
0,3,70,0,0,0
0,4,263,0,1,1
1,2,283,0,1,1
1,4,315,0,1,1
1,1,378,0,1,1
0,4,374,0,1,1
0,4,324,0,1,1
0,4,220,0,1,1
1,4,437,0,1,1
1,4,84,0,1,1
1,2,244,0,1,1
1,5,47,0,0,1
0,5,44,0,1,1
0,2,375,0,1,1
0,4,291,0,1,1
0,4,235,0,1,1
1,4,183,0,1,1
0,5,378,0,1,1
0,3,102,0,0,1
1,3,391,0,1,1
0,4,321,0,1,1
0,4,473,0,1,1
1,2,303,0,1,1
0,5,36,0,0,0
1,4,257,0,1,1
0,2,416,0,1,1
0,3,323,0,1,1
1,3,243,0,1,1
0,7,204,0,1,1
1,3,148,0,1,1
0,5,251,0,1,1
0,4,475,0,1,1
1,5,188,0,1,1
0,4,357,0,1,1
0,4,90,0,1,1
1,2,336,0,1,1
1,3,104,0,1,1
0,5,60,0,0,1
0,5,158,0,1,1
0,4,30,0,0,0
0,5,375,0,1,1
1,5,70,0,0,1
0,4,339,0,1,1
0,4,111,0,1,1
1,3,238,0,1,1
0,4,466,0,1,1
1,7,142,0,1,1
1,3,233,0,1,1
1,2,385,0,1,1
1,3,204,0,1,1
1,3,208,0,1,1
0,1,270,0,1,1
1,3,96,0,1,1
1,7,81,0,0,1
1,3,32,0,0,0
0,4,339,0,1,1
1,7,291,0,1,1
0,3,471,0,1,1
1,3,125,0,1,1
1,5,413,0,1,1
0,5,98,0,1,1
1,3,117,0,0,1
1,5,249,0,1,1
1,3,347,0,1,1
0,2,422,0,1,1
1,5,103,0,1,1
0,5,187,0,1,1
0,5,249,0,1,1
1,3,95,0,1,1
1,4,415,0,1,1
0,7,392,0,1,1
1,2,466,0,1,1
0,2,443,0,1,1
0,4,283,0,1,1
1,3,113,0,0,1
0,7,109,0,0,1
1,2,218,0,1,1
1,2,272,0,1,1
0,5,137,0,1,1
1,4,261,0,1,1
1,2,112,0,1,1
1,4,133,0,1,1
0,5,272,0,1,1
1,3,398,0,1,1
1,3,22,0,0,0
0,2,296,0,1,1
0,1,113,0,0,1
1,7,229,0,1,1
0,3,268,0,1,1
1,5,163,0,1,1
1,4,450,0,1,1
0,4,301,0,1,1
0,2,303,0,1,1
0,2,193,0,1,1
1,5,373,0,1,1
1,7,222,0,1,1
1,2,261,0,1,1
1,3,107,0,1,1
0,5,130,0,1,1
1,7,340,0,1,1
0,4,324,0,1,1
0,2,325,0,1,1
0,4,357,0,1,1
0,4,268,0,1,1
0,4,357,0,1,1
0,5,141,0,0,1
1,4,49,0,0,0
1,4,431,0,1,1
1,3,173,0,1,0
1,5,307,0,1,1
0,4,315,0,1,1
1,7,296,0,1,1
1,4,461,0,1,1
1,3,441,0,1,1
1,3,305,0,1,1
1,5,344,0,1,1
0,4,364,0,1,1
0,5,44,0,1,1
0,3,121,0,1,1
0,4,418,0,1,1
0,5,139,0,1,1
0,5,265,0,1,1
0,3,256,0,1,1
1,4,91,0,1,1
0,3,55,0,0,0
0,5,340,0,1,1
1,4,256,0,1,1
1,2,321,0,1,1
0,5,191,0,1,1
1,3,212,0,1,1
1,2,178,0,1,1
1,3,224,0,1,1
0,2,393,0,1,1
1,2,31,0,0,0
0,7,157,0,1,1
0,4,396,0,1,1
1,5,397,0,1,1
1,1,216,0,1,1
1,5,70,0,1,1
0,1,31,0,0,0
0,2,371,0,1,1
0,4,368,0,1,1
0,3,216,0,1,1
1,7,293,0,1,1
1,4,61,0,1,1
1,2,152,0,1,1
0,4,106,0,0,1
0,3,91,0,1,0
1,2,319,0,1,1
1,4,409,0,1,1
0,2,264,0,1,1
0,2,204,0,1,1
0,2,126,0,1,1
1,5,266,0,1,1
1,5,396,0,1,1
1,7,209,0,1,1
1,5,386,0,1,1
1,7,153,0,1,1
0,2,162,0,1,1
0,2,161,0,1,1
1,3,207,0,1,1
1,5,474,0,1,1
0,5,401,0,1,1
1,4,69,0,1,1
1,3,96,0,0,1
1,2,448,0,1,1
1,3,204,0,1,1
0,5,302,0,1,1
1,2,161,0,0,0
1,5,190,0,1,1
0,5,273,0,1,1
1,3,240,0,1,1
1,4,364,0,1,1
0,2,173,0,1,1
0,4,462,0,1,1
1,5,128,0,1,1
0,3,444,0,1,1
0,4,291,0,1,1
0,7,134,0,0,0
1,3,359,0,1,1
1,7,175,0,1,1
1,5,252,0,1,1
0,2,337,0,1,1
0,3,219,0,1,1
1,4,477,0,1,1
1,2,128,0,1,1
1,5,47,0,0,1
1,4,356,0,1,1
0,4,354,0,1,1
0,2,247,0,1,1
1,5,68,0,0,0
0,4,215,0,1,1
0,2,322,0,1,1
1,5,368,0,1,1
0,4,178,0,1,1
1,2,31,0,0,0
0,4,464,0,1,1
1,2,134,0,1,1
0,3,310,0,1,1
0,5,216,0,1,1
1,3,329,0,1,1
1,2,311,0,1,1
0,3,26,0,0,0
1,4,19,0,0,0
1,2,443,0,1,1
1,3,468,0,1,1
1,2,164,0,1,1
0,3,111,0,1,1
1,3,453,0,1,1
0,1,323,0,1,1
1,5,260,0,1,1
1,5,317,0,1,1
1,7,116,0,0,1
1,3,396,0,1,1
0,2,289,0,1,1
1,1,337,0,1,1
1,4,413,0,1,1
1,4,348,0,1,1
0,3,89,0,0,0
1,4,166,0,1,1
1,3,164,0,1,1
1,2,15,0,0,1
0,3,314,0,1,1
0,3,263,0,1,1
0,2,314,0,1,1
1,4,99,0,0,1
1,1,328,0,1,1
1,1,48,0,0,0
1,5,440,0,1,1
1,3,182,0,1,1
1,3,19,0,0,0
1,5,311,0,1,1
0,4,297,0,1,1
0,2,74,0,0,0
1,2,265,0,1,1
0,1,429,0,1,1
1,3,469,0,1,1
1,5,142,0,1,1
1,5,411,0,1,1
1,3,372,0,1,1
1,3,239,0,1,1
1,4,157,0,1,1
1,4,471,0,1,1
1,4,221,0,1,1
1,3,259,0,1,1
1,5,98,0,1,1
1,2,360,0,1,1
1,4,48,0,0,1
1,4,387,0,1,1
1,5,328,0,1,1
1,4,391,0,1,1
1,4,299,0,1,1
0,4,228,0,1,1
1,4,281,0,1,1
0,5,317,0,1,1
1,5,81,0,0,1
0,4,419,0,1,1
1,2,142,0,1,0
0,2,250,0,1,1
1,2,90,0,1,1
0,3,348,0,1,1
0,7,413,0,1,1
0,2,98,0,1,1
1,3,211,0,1,1
1,3,439,0,1,1
1,2,444,0,1,1
1,7,116,0,0,1
1,5,291,0,1,1
1,3,239,0,1,1
1,3,392,0,1,1
1,4,369,0,1,1
1,3,73,0,0,0
1,7,300,0,1,1
1,3,439,0,1,1
0,4,141,0,1,1
1,3,168,0,1,1
1,4,159,0,1,1
0,3,352,0,1,1
0,4,131,0,1,1
0,2,45,0,0,0
0,4,365,0,1,1
1,4,460,0,1,1
1,5,230,0,1,1
0,2,415,0,1,1
1,3,207,0,1,1
1,4,97,0,1,1
1,5,247,0,1,1
0,4,441,0,1,1
1,3,92,0,0,1
0,4,169,0,1,1
1,4,175,0,1,1
0,3,188,0,1,1
1,2,429,0,1,1
0,4,260,0,1,1
1,3,319,0,1,1
1,2,68,0,1,1
1,2,220,0,1,1
1,3,414,0,1,1
1,5,345,0,1,1
0,5,66,0,0,0
1,5,282,0,1,1
1,2,473,0,1,1
1,3,283,0,1,1
1,4,19,0,0,0
0,5,43,0,0,0
0,7,369,0,1,1
1,4,213,0,1,1
1,3,175,0,1,1
1,4,312,0,1,1
0,4,30,0,0,0
1,2,290,0,1,1
1,5,272,0,1,1
1,1,335,0,1,1
0,2,17,0,0,0
1,3,445,0,1,1
0,2,407,0,1,1
0,3,90,0,1,1
0,5,198,0,1,1
1,7,368,0,1,1
0,4,195,0,1,1
0,3,144,0,1,1
1,7,202,0,1,1
1,2,23,0,0,0
1,3,470,0,1,1
1,2,323,0,1,1
1,4,237,0,1,1
0,2,400,0,1,1
1,5,305,0,1,1
0,4,93,0,1,1
1,4,178,0,1,1
0,5,278,0,1,1
1,5,354,0,1,1
0,4,207,0,1,1
1,3,453,0,1,1
1,4,89,0,1,1
0,5,89,0,1,1
0,3,385,0,1,1
1,5,335,0,1,1
1,4,217,0,1,1
1,5,169,0,1,1
0,3,116,0,1,1
1,4,412,0,1,1
0,2,215,0,1,1
0,3,203,0,1,1
0,2,60,0,0,0
1,5,288,0,1,1
1,3,62,0,0,1
0,2,269,0,1,1
0,2,184,0,1,1
0,2,300,0,1,1
1,3,300,0,1,1
0,1,309,0,1,1
0,5,157,0,1,1
1,3,75,0,1,1
1,2,375,0,1,1
1,5,475,0,1,1
1,1,190,0,1,1
1,2,202,0,1,1
0,4,388,0,1,1
0,7,196,0,1,1
1,4,198,0,1,1
1,1,185,0,1,1
0,3,460,0,1,1
0,1,132,0,1,1
1,2,477,0,1,1
1,5,284,0,1,1
0,5,22,0,0,0
1,5,102,0,1,1
1,4,355,0,1,1
1,2,222,0,1,1
0,2,207,0,1,1
1,5,255,0,1,1
1,5,54,0,0,1
0,3,452,0,1,1
1,5,312,0,1,1
1,5,369,0,1,1
1,4,203,0,1,1
1,5,331,0,1,1
0,4,309,0,1,1
0,2,365,0,1,1
1,5,212,0,1,1
1,4,37,0,0,0
0,4,257,0,1,1
1,5,93,0,0,1
0,2,323,0,1,1
1,4,430,0,1,1
1,5,346,0,1,1
0,5,286,0,1,1
0,4,186,0,1,1
0,2,273,0,1,1
1,3,405,0,1,1
1,3,205,0,1,1
0,1,394,0,1,1
0,5,67,0,1,0
1,4,151,0,0,1
0,5,97,0,1,0
1,2,74,0,1,1
0,3,448,0,1,1
0,4,108,0,1,1
1,3,339,0,1,1
1,5,42,0,1,0
0,2,65,0,0,1
0,2,195,0,1,1
1,5,52,0,0,0
1,7,319,0,1,1
1,2,335,0,1,1
1,3,251,0,1,1
0,4,217,0,1,1
1,5,303,0,1,1
0,2,294,0,1,1
0,1,140,0,1,1
0,2,446,0,1,1
1,2,186,0,1,1
0,2,356,0,1,1
1,5,44,0,0,1
1,3,311,0,1,1
1,5,88,0,0,1
0,2,55,0,0,0
1,2,94,0,1,1
1,3,78,0,1,1
0,1,244,0,1,1
1,4,355,0,1,1
1,3,412,0,1,1
0,5,16,0,0,0
0,3,125,0,0,1
0,3,276,0,1,1
1,5,346,0,1,1
1,4,292,0,1,1
1,5,359,0,1,1
1,4,260,0,1,1
1,2,198,0,1,1
1,5,240,0,1,1
0,2,22,0,0,0
1,3,276,0,1,1
0,2,45,0,1,0
1,1,374,0,1,1
0,3,50,0,0,0
1,5,479,0,1,1
0,4,339,0,1,1
1,3,324,0,1,1
1,2,230,0,1,1
1,4,60,0,0,1
1,5,143,0,0,1
0,1,210,0,1,1
1,4,233,0,1,1
1,3,467,0,1,1
1,4,377,0,1,1
1,2,476,0,1,1
1,5,189,0,1,1
1,4,88,0,0,0
1,1,263,0,1,1
0,4,409,0,1,1
1,5,129,0,1,1
1,4,277,0,1,1
1,5,163,0,1,1
1,3,95,0,1,1
0,5,103,0,0,1
1,4,425,0,1,1
0,4,462,0,1,1
1,3,446,0,1,1
0,4,39,0,1,0
1,4,184,0,1,1
0,2,203,0,1,1
0,3,452,0,1,1
1,5,326,0,1,1
1,3,375,0,1,1
1,5,97,0,0,1
0,5,268,0,1,1
0,3,133,0,1,1
0,3,88,0,0,0
0,5,74,0,0,1
1,3,384,0,1,1
1,4,39,0,0,0
1,5,25,0,0,0
1,5,112,0,1,1
1,2,212,0,1,1
0,4,301,0,1,1
0,4,397,0,1,1
1,4,213,0,1,1
0,3,187,0,1,1
1,4,419,0,1,1
1,3,164,0,1,1
1,1,390,0,1,1
0,5,120,0,1,1
1,5,473,0,1,1
1,3,82,0,0,0
0,3,29,0,0,0
0,3,95,0,0,1
1,2,261,0,1,1
1,3,192,0,1,1
1,4,274,0,1,1
0,2,44,0,0,1
1,4,434,0,1,1
0,2,370,0,1,1
0,3,258,0,1,1
1,3,177,0,1,1
1,3,434,0,1,1
0,5,180,0,1,1
1,4,418,0,1,1
1,4,90,0,1,1
0,3,219,0,1,1
0,4,396,0,1,1
1,3,345,0,1,1
0,3,160,0,1,1
0,4,198,0,1,1
1,2,276,0,1,1
1,3,350,0,1,1
1,4,100,0,1,1
0,2,131,0,1,1
1,2,387,0,1,1
1,3,192,0,1,1
1,3,136,0,1,1
1,4,379,0,1,1
0,4,251,0,1,1
1,5,269,0,1,1
0,4,123,0,1,1
0,1,414,0,1,1
0,1,447,0,1,1
1,3,54,0,0,0
1,5,199,0,1,1
1,4,229,0,1,1
0,5,87,0,0,0
0,4,407,0,1,1
0,1,313,0,1,1
1,3,78,0,1,1
0,5,93,0,0,1
1,5,230,0,1,1
1,5,309,0,1,1
1,2,218,0,1,1
0,3,408,0,1,1
0,7,176,0,1,1
1,3,301,0,1,1
1,3,372,0,1,1
1,4,147,0,1,1
0,7,45,0,0,1
1,5,279,0,1,1
0,3,46,0,0,0
1,4,479,0,1,1
0,2,13,0,0,0
1,4,300,0,1,1
0,5,188,0,1,1
1,1,91,0,1,1
0,4,235,0,1,1
1,3,79,0,0,1
1,2,116,0,1,1
1,5,395,0,1,1
1,2,323,0,1,1
1,4,184,0,1,1
1,3,432,0,1,1
1,4,23,0,0,0
1,2,198,0,1,1
0,1,62,0,0,1
0,3,92,0,0,1
0,5,226,0,1,1
1,5,448,0,1,1
0,4,369,0,1,1
1,3,382,0,1,1
1,4,50,0,0,1
